296	Obvod mnohoúhelníku	5ZCKr4wTQvI	""	80
303	Grafické znázornění soustavy nerovnic	TqsRlc02rtc	""	296
305	Grafické znázornění soustavy nerovnic 3	UUwmo5qaTuI	""	457
308	Kvadratické rovnice 	tSNtCg7o7bA	""	614
321	Komplexní čísla	MEuPzvh0roM	""	141
333	"Nalezení determinantu matice 3x3, metoda 1"	v4MenooI1J0	""	159
341	Sčítání a odčítání zlomků	52ZlXsFJULI	""	590
353	Sal Khan v Praze	YC4WE1cjhxU	""	260
385	Pythagorova věta - úvod	s9t7rNhaBp8	""	514
422	Násobení desetinného čísla mocninami deseti	mV0RxDZG05A	""	227
425	Hra s úhly	kqU_ymV581c	""	541
428	Dělení desetinného čísla	S0uuK7SQcA8	""	567
447	Desetinná čísla na číselné ose	LpLnmuAyNWg	""	100
451	Komplexní čísla (část 2)	bPqB9a1uk_8	""	538
453	Násobení matic (část 1)	aKhhYguY0DQ	""	820
454	Násobení matic (část 2)	OAh573i_qn8	""	877
456	Důkaz: log a + log b = log ab	FP2arCfAfBY	""	428
460	Úvod do funkcí	VhokQhjl5t0	""	572
465	Early Show o Khan Academy	2sTkub_aYt4	""	208
467	Grafy lineárních funkcí	EmTvdKkAUtE	""	709
469	Odhad s desetinnými čísly	BkwI6Uu0vi4	""	181
472	Výpočet výrazů s neznámými hodnotami proměnných	TIwGXn4NalM	""	279
474	Khan Academy v Oaklandské střední škole v Kalifornii	2tYdClfLSCE	""	307
475	Plán Khan Academy pro pozitivní změny ve školách	bQ5DJUhV6vk	""	137
476	Eric Schmidt z Googlu o Khan Academy	_JBhxkPbijM	""	68
481	Transpozice matice	TZrKrNVhbjI	""	222
482	Determinant matice 2x2	OU9sWHk_dlw	""	70
510	Násobení matice celým číslem	TbaltFbJ3wE	""	138
515	Řešení kvadratických rovnic rozkladem - př.2	04RpkdaNzr8	""	199
521	Sčítání funkcí	n34dqyVCXs4	""	153
522	Součin funkcí	JKvmAexeMgY	""	180
524	Definiční obor funkce	U-k5N1WPk4g	""	599
525	Khan Academy na setkání veřejných škol	TZ1CRFgBK4o	""	273
527	Přednáška Billa Gatese o Khan Academy	6A07Pj71TUA	""	125
529	The Gates Notes: Žáci  z Los Altos	q7lttowsC0Y	""	194
530	The Gates Notes: Pohled na pokroky studentů	zscrs94_pFc	""	151
536	The Gates Notes: Vedení školy z Los Altos	2DlxIXYEu4s	""	189
541	Převod jednotek	w0nqd_HXHPQ	""	556
545	Příklad: Použití soh cah toa	I3jyBUyjg48	""	245
557	30°-60°-90° trojúhelníky II.	3mLUJSoh6i0	""	289
560	Úvod k 30°-60°-90° trojúhelníkům	Qwet4cIpnCM	""	579
578	Komplexní čísla (část 1)	kpywdu1afas	""	610
605	Funkce (Část III)	5fcRSie63Hs	""	552
606	Permanentka na jógu - základy proměnných a rovnic	3tRc6mUumFk	""	439
630	Více k oxidačním stavům (staré)	GA88JI4AymY	""	1049
642	Příklady vektorů	r4bH66vYjss	""	1534
645	Úvod do řešení jednoduchých rovnic	kZoFI_fcC74	""	111
652	Příklad na výpočet poměru s algebrou	ITVQrzDSekU	""	312
657	Definiční obor a obor hodnot ve vztahu	g3LrOw1JMi8	""	163
658	Vypočet neznámé v poměru 2	2sd1zs6unLk	4ywTWCaLmXE	236
659	Parametrické vyjádření přímek	hWhs2cIj7Cw	""	1486
664	Objevujeme lineární vztahy	qPx7i1jwXX4	""	298
669	Sbor volitelů	oTbvYGH_Hiw	""	670
670	Lineární algebra: Úvod do lineární nezávislosti	CrV1xCWdY-g	""	946
671	Dělení komplexních čísel.	Z8j5RDOibV4	""	298
685	"Ženský akt (Willendorfská Venuše), cca 28.000-25.000 př.n.l."	ENAZqOoOVaI	""	260
688	Finanční krize v Thajsku způsobená spekulativním útokem	lA3sjWwu5-s	""	393
694	Pokročilý úvod do vektorů.	br7tS1t2SFE	""	349
699	Co říkají lineární grafy	xR9r38mZjK4	""	305
705	Hromadění devizových rezerv	HiphWQfB6J0	""	215
707	Používání rezerv ke stabilizaci měny	TZ7d5kjAlQw	""	309
720	Rovnocenné zlomky	U2ovEuEUxXQ	""	349
723	Kolik lidí zaměstnat s ohledm na křivku mezního produktu	p8PSIpMkEvA	""	542
