id	title	youtube_id	youtube_id_original	duration	Block ID	Block title
1244	"Bellini & Titian, Sešlost bohů, 1514 a 1529"	Mx59hYSFCeA	""	185	106	1300-1600 Renesance
1220	"Jednorožec v zajetí, 1495-1505"	26WASJHF46A	""	357	106	1300-1600 Renesance
2068	"Albrecht Dürer, Autoportrét, 1500"	ZoiY6ZLEKaY	""	204	106	1300-1600 Renesance
1182	"Verrocchio (s Leonardem), Křest Krista, 1470-75"	3YMEIjHl9og	""	261	106	1300-1600 Renesance
1174	Úvod do protestantské reformace: Jak reformace začala	qTGJMnTWrrw	""	498	106	1300-1600 Renesance
1169	"Michelangelo, Umírající otrok a Vzpurný otrok, 1513-15"	h44bnIGogu8	""	197	106	1300-1600 Renesance
1158	"Michelangelo, Pietà, 1498-1500"	JbWGusfynCw	""	219	106	1300-1600 Renesance
1310	"Dürer, autoportrét, 1498"	OQEWArXaCeg	""	134	106	1300-1600 Renesance
1145	"Leonardo da Vinci, Klanění tří králů 1481.mov"	QxNqWZPzsGw	""	276	106	1300-1600 Renesance
1131	"Hans Holbein mladší, Portrait of Henry VIII, 1540"	-wTI7EC-i30	""	251	106	1300-1600 Renesance
1125	"Pieter Bruegel starší, Babylonská věž, 1563"	K6BKDveCd9w	""	280	106	1300-1600 Renesance
973	"Bazilika sv. Petra, Vatikán, započato 1506, dokončeno 1626"	R5UK0dEFSoM	""	268	106	1300-1600 Renesance
1095	"Cranach starší, Adam a Eva, 1526"	g4XZGhnFOwM	""	302	106	1300-1600 Renesance
939	"Titian, Noli me Tangere, okolo r. 1514"	Rw8XE6hvHBo	""	234	106	1300-1600 Renesance
928	"Michelangelo, Mojžíš, ca. 1513-15"	pnBbFIxCIGw	""	252	106	1300-1600 Renesance
865	Úvod do protestantské reformace: Různorodost protestantismu (3 z 4)	F6ZsIyKHTNI	""	496	106	1300-1600 Renesance
563	"Caravaggio, Narcissus at the Source, 1597-99"	JrTsNuUQXzU	""	217	106	1300-1600 Renesance
651	"Pieter Bruegel starší, Holandská přísloví, 1559"	mSPumIx85l8	""	140	106	1300-1600 Renesance
957	"Titian, Portrét Muže (Muž s Prošívaným Rukávem), 1510-20"	AAeBt4zGDUA	""	274	106	1300-1600 Renesance
824	"Michelangelo, Strop Sixtinské kaple, 1508-12"	gqrgWXAS9O8	""	1323	106	1300-1600 Renesance
920	"Giorgione,Uctívání Pastýřů, 1505/10"	M0Nf2Osgwkc	""	225	106	1300-1600 Renesance
856	"Giorgione, Tři filozofové, okolo roku 1506"	RD_Mh_SDz3s	""	259	106	1300-1600 Renesance
725	"Rafael: Madona se stehlíkem, 1505-6"	jHN0BfowL7s	""	207	106	1300-1600 Renesance
617	"Michelangelo, David, 1501-04, mramor"	-oXAekrYytA	""	341	106	1300-1600 Renesance
1080	"Leonardo, Poslední večeře, 1495-98"	iV6_wTrkd70	""	460	106	1300-1600 Renesance
863	"Goya, Rodina Karla IV., c. 1800"	TlvXGblFsv8	""	210	107	1600-1800 Baroko a Osvícenství
1958	"Bernini, Busta Medůzy, kolem 1644-48"	W3a2QIm3cXM	""	175	107	1600-1800 Baroko a Osvícenství
1647	"Gian Lorenzo Bernini, Katedra svatého Petra, 1647-53"	z-yC6Owcg7g	""	211	107	1600-1800 Baroko a Osvícenství
950	"Gian Lorenzo Bernini, Vidění sv. Terezie, 1645-52"	RKcJvjP9zgY	""	453	107	1600-1800 Baroko a Osvícenství
2099	"Rembrandt, Tři kříže, 1653"	7PA0T4_KYC0	""	623	107	1600-1800 Baroko a Osvícenství
2237	"Guercino: Sv. Lukáš představuje obraz Panny, 1652-53"	EczhLjFtyio	""	508	107	1600-1800 Baroko a Osvícenství
505	"Boucher, Madame de Pompadour, 1750"	lnJRkY0mZh4	""	186	107	1600-1800 Baroko a Osvícenství
1815	"François Boucher, Venuše utěšující miláčka, 1751"	OSP1o2Zsbts	""	127	107	1600-1800 Baroko a Osvícenství
1054	"John Singleton Copley, Chlapec s létající veverkou (Henry Pelham), 1765"	60u_ctp6UIw	""	259	107	1600-1800 Baroko a Osvícenství
365	"Jean-Honoré Fragonard, Houpačka, 1767"	rVI5Sjm0xKI	""	201	107	1600-1800 Baroko a Osvícenství
1138	"Élisabeth-Louise Vigee Le Brun, Madame Perregaux, 1789"	6V9x0d5wRpI	""	104	107	1600-1800 Baroko a Osvícenství
732	"Rembrandt van Rijn, Bathshebina koupel, 1654"	wsL4Uh0BrQw	""	243	107	1600-1800 Baroko a Osvícenství
2368	"Velázquez, Las Meninas, c. 1656"	IiTtGENiVOA		360	107	1600-1800 Baroko a Osvícenství
2224	"Bernini, kostel svatého Ondřeje na Kvirinále,  1658-70"	EhEg8Wx_NA8	""	507	107	1600-1800 Baroko a Osvícenství
1077	"Jan Vermeer, Sklenice vína, 1661"	uvA6YY4yHtM	""	257	107	1600-1800 Baroko a Osvícenství
1117	"Jan Vermeer, Děvečka se džbánem mléka, 1662"	_38xl7p4VaM	""	289	107	1600-1800 Baroko a Osvícenství
1662	"Pozzo, Kaple sv. Ignáce, Il Gesu, Řím (objednáno v roce 1695)"	A3vkqYgJ93c	""	228	107	1600-1800 Baroko a Osvícenství
2124	"Jan van Huysum, Váza s květinami, 1718-20"	WOnOq9YIrWI	""	177	107	1600-1800 Baroko a Osvícenství
1931	"William Hogarth: Manželtsví dneška, kolem 1743"	mFJ9tHJA2Sw	""	732	107	1600-1800 Baroko a Osvícenství
1675	"David, Liktoři přinášející Brutovi mrtvoly jeho synů, 1789"	UQiNvDOJi0c	""	254	107	1600-1800 Baroko a Osvícenství
964	"Diego Velázquez, Vulkánova kovárna, c. 1630"	qoHva5i85Qo	""	203	107	1600-1800 Baroko a Osvícenství
1412	"El Greco, Klanění pastýřů, 1612-1614"	3_-hYeuJTzQ	""	250	107	1600-1800 Baroko a Osvícenství
857	"Caravaggiho; Povolání Svatého Matouše, vytvořeno 1599-1600"	SZF5K8epWko	""	382	107	1600-1800 Baroko a Osvícenství
855	"Caravaggio, ukřižování Svatého Petra, 1601"	cLICU2cDHrs	""	219	107	1600-1800 Baroko a Osvícenství
551	"Caravaggio, Večeře v Emauzích, 1601"	asLQmxK7ExY	""	243	107	1600-1800 Baroko a Osvícenství
2070	"Carracci, Strop paláce Farnese, 1597-1606"	DR9ad67Ftv0	""	578	107	1600-1800 Baroko a Osvícenství
919	"Caravaggio, Smrt Panny Marie, rok 1605-06"	TkH-yjJ35vU	""	237	107	1600-1800 Baroko a Osvícenství
544	"Girodet, Spánek Endymionův, 1791"	2B68DWcOLj0	""	169	107	1600-1800 Baroko a Osvícenství
2101	"Bernini, Apollo and Dafné, 1622-25"	e3RSRrUL1Os	""	184	107	1600-1800 Baroko a Osvícenství
394	"Bernini, David, 1623-24"	YKzHdQKX9RA	""	235	107	1600-1800 Baroko a Osvícenství
2378	"Antoine nebo Louis Le Nain, Rolnická rodina v interiéru, 2. čtvrtina 17. století"	ZSh1ksh1iO4		192	107	1600-1800 Baroko a Osvícenství
1785	"Nicolas Poussin, Et in Arcadia Ego, 1637-38"	dgsogHXtwyA	""	123	107	1600-1800 Baroko a Osvícenství
362	"Nicolas Poussin, Krajina se svatým Janem na ostrově Patmos, 1640"	H3uBAVI4xC4	""	306	107	1600-1800 Baroko a Osvícenství
1671	"Rembrandt, Dívka u okna, 1645"	xSixUm1cXSw	""	170	107	1600-1800 Baroko a Osvícenství
1135	"Friedrich, Procházka za soumraku, 1830-35"	xSnm3LNMXi0	""	209	108	1800-1907 Průmyslová revoluce
1114	"Caspar David Friedrich, Mnich u moře, 1808 nebo 1810"	XkcHktjqI1s	""	246	108	1800-1907 Průmyslová revoluce
800	"Constable, ""Vůz na seno"", 1821"	FKIHHeBe674	""	269	108	1800-1907 Průmyslová revoluce
1183	"Caspar David Friedrich, Osamocený strom, 1822"	YlhDUSntCI4	""	226	108	1800-1907 Průmyslová revoluce
687	Umělecká reprezentace a abstrakce: Pohled na Millaise a Newmana	8-5DTsl1V5k	""	510	108	1800-1907 Průmyslová revoluce
881	"Vincent van Gogh, Ložnice v Arles, 1889"	E1tA9-ypx0g	""	284	108	1800-1907 Průmyslová revoluce
554	"Goya, Saturn požírající svého syna, 1821-23"	3Lawz8TcPig	""	205	108	1800-1907 Průmyslová revoluce
468	"Delacroix, Vraždění na Chiu - řecké rodiny očekávající smrt nebo otroctví"	CyNjK7dv-IM	""	195	108	1800-1907 Průmyslová revoluce
2140	"Mary Cassatt, Snídaně v posteli, 1897"	gDbpcwwUgjI	""	187	108	1800-1907 Průmyslová revoluce
1199	"Cézanne, Zátiší s jablky, 1895-98 (MoMA)"	hH1a1v1JNAk	""	336	108	1800-1907 Průmyslová revoluce
2327	"Cézanne, Zátiší se sádrovým Kupidem, c. 1895"	XBPgPEo0Xx4	""	305	108	1800-1907 Průmyslová revoluce
2171	"Henri de Toulouse-Lautrec, V Moulin Rouge, 1893-95"	XLcbGHNFcpM	""	191	108	1800-1907 Průmyslová revoluce
2138	"Mary Cassatt, Dětská koupel, 1893"	O4St29B7cmU	""	186	108	1800-1907 Průmyslová revoluce
937	"Edvard Munch, Bouře, 1893"	653ZKHd_PYo	""	241	108	1800-1907 Průmyslová revoluce
1749	"Franz von Stuck, Hřích, 1893"	muJatqh6wRM	""	192	108	1800-1907 Průmyslová revoluce
1163	"Claude Monet, Topoly, 1891"	JCKshDyxjuw	""	235	108	1800-1907 Průmyslová revoluce
728	"Vincent van Gogh, Autoportrét věnovaný Paulu Gauginovi, 1888"	gqSpWPONekE	""	169	108	1800-1907 Průmyslová revoluce
1137	"Khnopff,  Jeanne Kéfer, 1885"	cIpEZXOAn0I	""	192	108	1800-1907 Průmyslová revoluce
888	"Georges Seurat, Nedělní odpoledne na ostrově La Grande Jatte - 1884, 1884-86"	wNB9Vm6MoDQ	""	403	108	1800-1907 Průmyslová revoluce
2125	"Édouard Manet, Bar ve Folies-Bergère, 1882"	kMACjCg9r4E	""	635	108	1800-1907 Průmyslová revoluce
2264	"Mary Stevenson Cassattová, The Loge, 1882"	zOZiuAOuOkA	""	207	108	1800-1907 Průmyslová revoluce
1184	"Rodin, Brány pekla​, 1880-1917"	TgLTzYXg530	""	253	108	1800-1907 Průmyslová revoluce
1946	"Sir Edward Coley Burne-Jones, Zlaté schody, 1880"	VQniy8iq9EQ	""	191	108	1800-1907 Průmyslová revoluce
2275	"Mary Cassattová, Žena s perlovým náhrdelníkem v lóži, 1879"	guxLpVICBjg	""	310	108	1800-1907 Průmyslová revoluce
1824	Édouard Manet - Slivovice	K3XTsNlcDS8	""	156	108	1800-1907 Průmyslová revoluce
976	"Édouard Manet, V zimní zahradě, 1878-1879"	eNhrYgYV0MA	""	205	108	1800-1907 Průmyslová revoluce
1238	"Claude Monet, Gare St. Lazare, 1877"	sYQ5CSyACpc	""	336	108	1800-1907 Průmyslová revoluce
724	"Monet, Most v Argenteuil, 1874"	Iics7KH_rLE	""	205	108	1800-1907 Průmyslová revoluce
676	"Degas, Taneční třída, 1874"	NigP3DjV3NY	""	309	108	1800-1907 Průmyslová revoluce
2123	"Arnold Böcklin, Autoportrét se smrtí hrající na housle, 1872"	3oeLGKeNPj0	""	179	108	1800-1907 Průmyslová revoluce
1439	"Edgar Degas, Na závodech na venkově, 1869"	6HTBjvqn9uw	""	232	108	1800-1907 Průmyslová revoluce
1140	"Jean-Baptiste Carpeaux​, Tanec, 1865-69"	3ZGmMTNyW0k	""	223	108	1800-1907 Průmyslová revoluce
1119	"Manet, Olympia, 1863 (vystavená 1865)"	bihBbqzL96Y	""	434	108	1800-1907 Průmyslová revoluce
1669	"Delacroix, Sardanapalova smrt, 1827"	iDBJK0y8vb0	""	223	108	1800-1907 Průmyslová revoluce
979	"Thomas Cole, Vyhnání z rajské zahrady, 1828"	dBrKCtx4TfA	""	235	108	1800-1907 Průmyslová revoluce
2369	"William Butterfield, kostel Všech svatých, Margaret Street, Londýn"	OMEDRrGpybY		495	108	1800-1907 Průmyslová revoluce
927	"Manet, Le déjeuner sur l'herbe (Snídaně v trávě),  1863"	Nb_4nEFyeGk	""	387	108	1800-1907 Průmyslová revoluce
2379	"Millet, L'Angélus, asi 1857-1859"	3KjZ3w5MtBo		145	108	1800-1907 Průmyslová revoluce
1936	"Bonheur, Ovce na vrchovině, 1857"	76gw8PA12ag	""	145	108	1800-1907 Průmyslová revoluce
1436	"Courbet, Malířův ateliér, 1854-55"	SvFtmPhbNRw	""	325	108	1800-1907 Průmyslová revoluce
1424	"Sir John Everett Millais, Ofélie, 1851-52"	I2M7U8eCeHA	""	327	108	1800-1907 Průmyslová revoluce
977	"Courbet, Pohřeb v Ornans,  1850"	zRuLkyLx3No	""	384	108	1800-1907 Průmyslová revoluce
1442	"William Holman Hunt, Claudio a Isabella, 1850"	4j13InegUPk	""	288	108	1800-1907 Průmyslová revoluce
1425	"Sir John Everett Millais, Kristus v domě svých rodičů, 1849-50"	nRPLiTZAry4	""	270	108	1800-1907 Průmyslová revoluce
1142	"Rosa Bonheur, Orba v Nivernais, 1849"	kOnzZHJYzb4	""	209	108	1800-1907 Průmyslová revoluce
1005	"Turner, Déšť, pára a rychlost -- Velká západní železnice, 1844"	pPsqUFuysbU	""	266	108	1800-1907 Průmyslová revoluce
1161	"Turner, Otrokářská loď (Otrokáři házející přes palubu mrtvé a umírající, přicházející tajfun), 1840"	NoCW80MEGXY	""	242	108	1800-1907 Průmyslová revoluce
31	Uspořádání čísel s absolutní hodnotou	l9WdGxfsh6Q	NvGTCzAfvr0	191	7	Absolutní hodnota
1159	"Williem de Kooning, Žena I, 1950-52"	WEYKoJTIHcE	""	220	325	Abstraktní expresionismus
2380	AB EX NY: Jackson Pollock	oG45EoRh3Fo		314	325	Abstraktní expresionismus
535	"Brancusi, Pták v prostoru, 1928"	xWTzH7RV80g	""	159	325	Abstraktní expresionismus
