73	Nerovnice s absolutní hodnotou	nhfOZAxifW0	iI_2Piwn_og	
74	Imaginární a komplexní čísla	C-2Ln0pK3kY	""	
75	Příklad 2: Pythagorova věta	zlwuz-K7H4o	O64YFlX1_aI	https://cs.khanacademy.org/v/pythagorean-theorem-2
76	Funkce: vztah mezi sudými a lichými čísly	jFazrvLodrA	""	
77	Úvod do matic	xyAuNHPsq-g	""	
78	Úvod do rozkladů kvadratických trojčlenů	mwoXUQNzZiI	eF6zYNzlZKQ	https://cs.khanacademy.org/v/factoring-quadratic-expressions
79	Lineární rovnice 4	KSHbfPqiTzY	DqeMQHomwAU	
80	Inteligentní design a evoluce	qxOEz9aPZNY	""	""
81	Jak je to s primáty	oFGkYA_diDA	""	
82	"Příklad, jak určit aritmetický průměr, medián a modus"	k3aKKasOmIw	""	
83	Směrodatná odchylka	HvDqbzu0i0E	""	
84	Salman Khan na konferenci TED	gM95HHI4gLk	""	
85	Khan Academy – cvičební software	hw5k98GV7po	""	
86	The Gates Notes: Učitelé z Los Altos	RoGgxrCsCEQ	""	
87	Vidličkové stromečky	e4MSN6IImpI	""	
88	Möbiův příběh	4mdEsouIXGM	""	
89	Úvod do směn měn	Z92-nPVW9ig	itoNb1lb5hY	
90	Bankovnictví 1	E-HOz8T6tAo	""	
91	Bankovnictví 2	h3lMANILkw0	""	
92	Forwardový kontrakt - úvod	H9UEZdAnnt8	""	
93	Stagflace	bTz_tx460EY	""	
94	Francouzská revoluce	BDWqwcTtZa0	""	
95	Komunismus	MmRgMAZyYN0	""	
96	Když je kapitalismus skvělý a ne tak skvělý	8NJEeEUUhaI	""	
97	Základy trigonometrie: Úvod	YD3E_L7YNRM	F21S9Wpi0y8	
98	Úvod do pravděpodobnosti	uzkc-qNVoOk	""	
99	Úvod do kvadratických rovnic	IWigvJcCAJ0	""	
100	Úvod do vektorových a skalárních veličin	0HzLhTK8emQ	ihNZlp7iUHE	
101	Výpočet času	awzOvyMKeMA	""	
102	Výpočet průměrné rychlosti	oRKxmXwLvUU	""	
103	Příklad výpočtu dráhy z času a rychlosti	lQ-dvt3V4yQ	""	
104	Zrychlení	FOkQszg1-j8	""	
105	Druhý Newtonův pohybový zákon	ou9YMWlJgkE	""	
106	Úvod do gravitace	Xcel427Ezl0	""	
107	Čas potřebný k vzletu letadla	p4DTormtEG0	""	
108	Pohyb těles – volný pád	15zliAL4llE	""	
109	Pohyb těles – vrh svisle vzhůru a volný pád	emdHj6WodLw	""	
110	Co to jsou tekutiny?	Pn5YEMwQb4Y	""	
111	Tlak v tekutinách a Pascalův zákon	lWDtFHDVqqk	""	
112	Elektrický náboj a Coulombův zákon	NXMgvrS8Gr8	""	
113	Kapacita	ngOC4eUQl8Y	""	
114	Úvod do elektrických obvodů a Ohmův zákon	F_vLWkkOETI	""	
